country,title,details,operator,search_text
Kenya,3-Day Masai Mara Chui Group Joining Safari,"$840 to $1,120 pp (USD) Kenya: Shared tour (max 8 people per vehicle) Mid-range Lodge You Visit: Nairobi (Start) , Masai Mara NR, Nairobi (End)","Jungleroam Safaris Tour operator has an office in Kenya 4.9 /5 – 1,538 Reviews","Safari Title: 3-Day Masai Mara Chui Group Joining Safari
Details: $840 to $1,120 pp (USD) Kenya: Shared tour (max 8 people per vehicle) Mid-range Lodge You Visit: Nairobi (Start) , Masai Mara NR, Nairobi (End)
Operator: Jungleroam Safaris Tour operator has an office in Kenya 4.9 /5 – 1,538 Reviews"
Kenya,"6-Day Discover Amboseli, Lake Naivasha & Masai Mara","$2,685 to $3,216 pp (USD) Kenya: Private tour Mid-range Lodge & Tented Camp You Visit: Nairobi (Start) , Amboseli NP, Lake Naivasha (Naivasha) , Masai Mara NR, Nairobi (End)",Safari Soles Tour operator has an office in Kenya 5.0 /5 – 514 Reviews,"Safari Title: 6-Day Discover Amboseli, Lake Naivasha & Masai Mara
Details: $2,685 to $3,216 pp (USD) Kenya: Private tour Mid-range Lodge & Tented Camp You Visit: Nairobi (Start) , Amboseli NP, Lake Naivasha (Naivasha) , Masai Mara NR, Nairobi (End)
Operator: Safari Soles Tour operator has an office in Kenya 5.0 /5 – 514 Reviews"
Kenya,5-Day Stunning Adventure-Luxury,"$2,977 to $3,848 pp (USD) Kenya: Private tour Luxury Tented Camp & Resort You Visit: Nairobi (Start) , Lake Naivasha (Naivasha) , Lake Nakuru NP, Masai Mara NR, Nairobi (End)",Rochar Africa Expeditions Tour operator has an office in Kenya 5.0 /5 – 45 Reviews,"Safari Title: 5-Day Stunning Adventure-Luxury
Details: $2,977 to $3,848 pp (USD) Kenya: Private tour Luxury Tented Camp & Resort You Visit: Nairobi (Start) , Lake Naivasha (Naivasha) , Lake Nakuru NP, Masai Mara NR, Nairobi (End)
Operator: Rochar Africa Expeditions Tour operator has an office in Kenya 5.0 /5 – 45 Reviews"
Kenya,6-Day Maasai Mara-Nakuru-Amboseli Kenya Budget Safari,"$650 to $774 pp (USD) Kenya: Shared tour (max 7 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Amboseli NP, Nairobi (End)",Bienvenido Kenya Tours and Safaris Tour operator has an office in Kenya 4.7 /5 – 175 Reviews,"Safari Title: 6-Day Maasai Mara-Nakuru-Amboseli Kenya Budget Safari
Details: $650 to $774 pp (USD) Kenya: Shared tour (max 7 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Amboseli NP, Nairobi (End)
Operator: Bienvenido Kenya Tours and Safaris Tour operator has an office in Kenya 4.7 /5 – 175 Reviews"
Kenya,7-Day Ultimate Kenyan Private Safari in Kenya,"$2,834 to $2,867 pp (USD) Kenya: Private tour Mid-range Lodge & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Lake Naivasha (Naivasha) , Amboseli NP, Nairobi Airport (End)",Jastro Safaris Tour operator has an office in Kenya 5.0 /5 – 89 Reviews,"Safari Title: 7-Day Ultimate Kenyan Private Safari in Kenya
Details: $2,834 to $2,867 pp (USD) Kenya: Private tour Mid-range Lodge & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Lake Naivasha (Naivasha) , Amboseli NP, Nairobi Airport (End)
Operator: Jastro Safaris Tour operator has an office in Kenya 5.0 /5 – 89 Reviews"
Kenya,6-Day Kenya Safari on a Budget-Mara-Nakuru-Amboseli,"$950 to $1,150 pp (USD) Kenya: Shared tour (max 8 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Nakuru (City) , Amboseli NP, Nairobi (End)","Axis Africa Expedition & Safaris Tour operator has an office in Kenya 4.9 /5 – 3,164 Reviews","Safari Title: 6-Day Kenya Safari on a Budget-Mara-Nakuru-Amboseli
Details: $950 to $1,150 pp (USD) Kenya: Shared tour (max 8 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Nakuru (City) , Amboseli NP, Nairobi (End)
Operator: Axis Africa Expedition & Safaris Tour operator has an office in Kenya 4.9 /5 – 3,164 Reviews"
Kenya,9-Day Luxury Big Kenya Safari,"$2,940 to $3,860 pp (USD) Kenya: Private tour Luxury Lodge & Tented Camp You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Lake Naivasha (Naivasha) , Amboseli NP, Tsavo West NP, Nairobi (End)",Spirit of Kenya Tour operator has an office in Kenya 5.0 /5 – 657 Reviews,"Safari Title: 9-Day Luxury Big Kenya Safari
Details: $2,940 to $3,860 pp (USD) Kenya: Private tour Luxury Lodge & Tented Camp You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Lake Naivasha (Naivasha) , Amboseli NP, Tsavo West NP, Nairobi (End)
Operator: Spirit of Kenya Tour operator has an office in Kenya 5.0 /5 – 657 Reviews"
Kenya,7-Day Best of Kenya Luxury Safari,"$6,249 to $6,474 pp (USD) Kenya: Private tour Luxury Lodge You Visit: Nairobi (Start) , Samburu NR, Masai Mara NR, Nairobi (End)",Wayfairer Travel 5.0 /5 – 220 Reviews,"Safari Title: 7-Day Best of Kenya Luxury Safari
Details: $6,249 to $6,474 pp (USD) Kenya: Private tour Luxury Lodge You Visit: Nairobi (Start) , Samburu NR, Masai Mara NR, Nairobi (End)
Operator: Wayfairer Travel 5.0 /5 – 220 Reviews"
Kenya,6-Day Best of Luxury Lodges and Camps Safari,"$2,732 to $3,475 pp (USD) Kenya: Private tour Luxury Lodge & Tented Camp You Visit: Nairobi (Start) , Amboseli NP, Lake Nakuru NP, Masai Mara NR, Nairobi (End)",Salina Wild Adventures Tour operator has an office in Kenya 4.9 /5 – 55 Reviews,"Safari Title: 6-Day Best of Luxury Lodges and Camps Safari
Details: $2,732 to $3,475 pp (USD) Kenya: Private tour Luxury Lodge & Tented Camp You Visit: Nairobi (Start) , Amboseli NP, Lake Nakuru NP, Masai Mara NR, Nairobi (End)
Operator: Salina Wild Adventures Tour operator has an office in Kenya 4.9 /5 – 55 Reviews"
Kenya,4-Day Masai Mara Lake Nakuru Budget Safari,"$627 to $840 pp (USD) Kenya: Shared tour (max 7 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Nairobi (End)","Jocky Tours and Safaris Tour operator has an office in Kenya 4.9 /5 – 3,165 Reviews","Safari Title: 4-Day Masai Mara Lake Nakuru Budget Safari
Details: $627 to $840 pp (USD) Kenya: Shared tour (max 7 people per vehicle) Budget Tented Camp & Hotel You Visit: Nairobi (Start) , Masai Mara NR, Lake Nakuru NP, Nairobi (End)
Operator: Jocky Tours and Safaris Tour operator has an office in Kenya 4.9 /5 – 3,165 Reviews"
